AccountID,CustomerID,AccountTypeID,AccountStatusID,Balance,OpeningDate
200094,10123,3,1,48348.54,2018-06-12 00:00:00.000000
201108,10077,3,1,35001.41,2019-10-30 00:00:00.000000
201453,10321,3,2,57081.03,2020-05-24 00:00:00.000000
200581,10871,5,1,63164.33,2021-01-27 00:00:00.000000
200003,10765,1,1,58739.64,2018-09-12 00:00:00.000000
201097,10903,1,1,45430.05,2021-07-18 00:00:00.000000
201343,10681,5,1,15435.59,2018-07-24 00:00:00.000000
201250,11038,5,1,52166.08,2018-07-10 00:00:00.000000
201001,10655,4,2,14569.86,2021-07-09 00:00:00.000000
200342,10672,4,1,76080.75,2019-06-04 00:00:00.000000
200892,10352,2,1,81466.67,2021-05-25 00:00:00.000000
200919,10981,4,1,7162.42,2019-08-24 00:00:00.000000
200883,10262,5,1,96755.41,2018-01-15 00:00:00.000000
200478,10207,2,1,97341.47,2019-05-20 00:00:00.000000
201012,10509,1,3,85030.52,2020-08-26 00:00:00.000000
200910,10582,3,3,63487.32,2018-01-21 00:00:00.000000
201488,10796,4,1,30363.58,2021-02-08 00:00:00.000000
200828,10792,3,1,42829.95,2020-05-05 00:00:00.000000
200757,10535,3,1,75543.44,2018-11-10 00:00:00.000000
201331,11051,1,1,15923.19,2020-11-24 00:00:00.000000
200761,10583,5,1,66945.73,2020-02-14 00:00:00.000000
200611,10777,3,1,52143.22,2019-02-26 00:00:00.000000
200164,10556,1,1,64746.74,2020-07-09 00:00:00.000000
201595,11083,1,1,21641.13,2020-10-25 00:00:00.000000
201025,10181,1,1,21398.11,2018-04-03 00:00:00.000000
201302,10877,5,1,13689.45,2021-02-04 00:00:00.000000
200806,10133,3,1,44471.11,2021-08-11 00:00:00.000000
200975,10997,2,2,58687.34,2018-09-08 00:00:00.000000
200473,10562,5,1,10594.45,2020-02-23 00:00:00.000000
200949,10327,2,2,5215.19,2019-10-09 00:00:00.000000
200241,10770,2,1,22583.96,2020-01-03 00:00:00.000000
200816,10298,2,1,17693.91,2018-08-28 00:00:00.000000
