BranchID,BranchName,AddressID
1,Branch 1,733
2,Branch 2,511
3,Branch 3,27
4,Branch 4,97
5,Branch 5,796
6,Branch 6,1209
7,Branch 7,341
8,Branch 8,184
9,Branch 9,199
10,Branch 10,224
11,Branch 11,30
12,Branch 12,551
13,Branch 13,415
14,Branch 14,491
15,Branch 15,629
16,Branch 16,84
17,Branch 17,1048
18,Branch 18,430
19,Branch 19,287
20,Branch 20,665
21,Branch 21,697
22,Branch 22,1155
23,Branch 23,673
24,Branch 24,1210
25,Branch 25,175
26,Branch 26,49
27,Branch 27,895
28,Branch 28,300
29,Branch 29,680
30,Branch 30,172
31,Branch 31,383
32,Branch 32,21
33,Branch 33,1118
34,Branch 34,986
35,Branch 35,868
36,Branch 36,562
37,Branch 37,265
38,Branch 38,636
39,Branch 39,844
40,Branch 40,546
41,Branch 41,173
42,Branch 42,93
43,Branch 43,742
44,Branch 44,1077
45,Branch 45,1123
46,Branch 46,693
47,Branch 47,213
48,Branch 48,695
49,Branch 49,905
50,Branch 50,22
