LoanID,AccountID,LoanStatusID,PrincipalAmount,InterestRate,StartDate,EstimatedEndDate
400230,200876,1,76958.56,0.0547,2022-11-20 00:00:00.000000,2026-08-06 00:00:00.000000
400307,200789,1,29013.67,0.0321,2022-02-22 00:00:00.000000,2025-12-08 00:00:00.000000
400233,201275,1,48596.76,0.1017,2021-11-21 00:00:00.000000,2023-07-30 00:00:00.000000
400100,200070,1,9191.43,0.0999,2021-08-14 00:00:00.000000,2023-09-18 00:00:00.000000
400141,200808,1,76322.83,0.0906,2021-06-04 00:00:00.000000,2024-10-23 00:00:00.000000
400320,201246,2,93715.1,0.0784,2022-03-09 00:00:00.000000,2025-12-28 00:00:00.000000
400267,200148,1,19627.15,0.0864,2021-06-29 00:00:00.000000,2024-07-25 00:00:00.000000
400317,201509,2,40473.32,0.1276,2022-01-21 00:00:00.000000,2025-04-30 00:00:00.000000
400323,200934,1,41206.98,0.1411,2021-09-14 00:00:00.000000,2023-11-18 00:00:00.000000
400034,200404,1,97362.97,0.1145,2023-02-02 00:00:00.000000,2027-01-11 00:00:00.000000
400237,200397,3,78955.6,0.0312,2021-06-30 00:00:00.000000,2025-05-14 00:00:00.000000
400072,201573,1,5446.88,0.1015,2022-10-23 00:00:00.000000,2026-10-05 00:00:00.000000
400153,201498,1,87408.64,0.0855,2026-03-13 15:01:44.338382,2026-10-12 00:00:00.000000
400194,200907,2,47361.17,0.0562,2022-05-13 00:00:00.000000,2025-06-02 00:00:00.000000
400156,201015,1,86224.07,0.1479,2021-11-05 00:00:00.000000,2023-02-03 00:00:00.000000
400290,200660,1,41039.33,0.0914,2021-08-12 00:00:00.000000,2026-06-19 00:00:00.000000
400053,200900,2,68008.02,0.086,2021-02-14 00:00:00.000000,2024-11-23 00:00:00.000000
400079,201254,1,94432.05,0.0512,2021-06-03 00:00:00.000000,2025-08-23 00:00:00.000000
400278,201187,1,88397.27,0.1002,2021-09-17 00:00:00.000000,2024-05-30 00:00:00.000000
400120,200849,1,6931.92,0.0381,2022-07-09 00:00:00.000000,2025-11-28 00:00:00.000000
400017,201263,1,62585.34,0.1008,2021-01-29 00:00:00.000000,2023-10-20 00:00:00.000000
400226,201525,1,31038.04,0.139,2022-07-06 00:00:00.000000,2024-05-06 00:00:00.000000
400300,200592,1,28348.12,0.1141,2022-08-04 00:00:00.000000,2024-06-24 00:00:00.000000
400130,200113,2,37599.36,0.1106,2022-06-26 00:00:00.000000,2023-11-14 00:00:00.000000
400191,200701,1,83515.17,0.0796,2021-12-04 00:00:00.000000,2024-07-06 00:00:00.000000
400181,201394,2,60739.7,0.0336,2022-12-26 00:00:00.000000,2026-07-05 00:00:00.000000
400140,201276,1,88432.42,0.0675,2022-04-26 00:00:00.000000,2024-11-07 00:00:00.000000
400041,200123,3,63515.6,0.0754,2022-05-28 00:00:00.000000,2024-05-16 00:00:00.000000
400024,201126,2,81509.04,0.0846,2021-03-22 00:00:00.000000,2024-08-10 00:00:00.000000
400095,200694,1,99830.33,0.143,2022-07-24 00:00:00.000000,2027-01-20 00:00:00.000000
400328,201273,1,16019.02,0.1067,2023-03-08 00:00:00.000000,2025-02-24 00:00:00.000000
