TransactionID,AccountOriginID,AccountDestinationID,TransactionTypeID,Amount,TransactionDate,BranchID,Description
3022681,201164,200868,2,855.17,2023-04-20 02:00:00.000000,41,Transaction 22681
3037846,200138,201402,2,806.2,2021-08-10 15:00:00.000000,43,Transaction 37846
3045293,201002,201180,1,1229.44,2020-08-16 03:00:00.000000,5,Transaction 45293
3017397,201066,201144,4,4441.6,2021-10-10 06:00:00.000000,14,Transaction 17397
3016750,200289,201413,3,2526.2,2022-07-28 00:00:00.000000,37,Transaction 16750
3020141,200144,200319,3,1498.48,2023-07-08 13:00:00.000000,20,Transaction 20141
3039836,201137,200095,1,2556.13,2021-09-03 01:00:00.000000,34,Transaction 39836
3018170,201594,200292,2,2321.85,2021-07-18 21:00:00.000000,14,Transaction 18170
3048888,201340,200210,3,1649.81,2022-06-04 01:00:00.000000,50,Transaction 48888
3048575,200503,201417,1,632.38,2021-02-22 19:00:00.000000,22,Transaction 48575
3035456,200834,200689,1,4144.61,2020-10-08 10:00:00.000000,39,Transaction 35456
3046999,201487,200533,3,553.42,2022-02-14 22:00:00.000000,29,Transaction 46999
3035368,200269,201432,2,3636.67,2022-06-26 10:00:00.000000,19,Transaction 35368
3042712,200222,200292,2,3903.66,2020-01-06 19:00:00.000000,34,Transaction 42712
3045075,200958,200185,1,3389.96,2021-07-27 03:00:00.000000,24,Transaction 45075
3015406,201558,200240,1,1546.75,2020-02-20 16:00:00.000000,38,Transaction 15406
3010749,201142,201558,2,3775.4,2023-04-14 20:00:00.000000,27,Transaction 10749
3010357,200477,201074,2,361.29,2020-02-01 20:00:00.000000,33,Transaction 10357
3032690,200004,200636,2,1725.88,2022-11-22 12:00:00.000000,19,Transaction 32690
3042116,201098,201483,3,4721.78,2022-04-07 16:00:00.000000,43,Transaction 42116
3040934,200307,200231,2,2906.01,2022-08-06 14:00:00.000000,17,Transaction 40934
3005216,200770,200855,1,4399.79,2021-07-02 05:00:00.000000,30,Transaction 5216
3043668,200256,200211,2,264.71,2021-12-15 03:00:00.000000,5,Transaction 43668
3049435,200626,200995,1,1597.3,2023-11-26 19:00:00.000000,23,Transaction 49435
3018838,200255,200686,1,3071.24,2020-10-09 06:00:00.000000,18,Transaction 18838
3019425,201204,201624,4,3070.49,2023-10-15 18:00:00.000000,12,Transaction 19425
3008589,200722,201019,1,3073.81,2023-12-28 20:00:00.000000,18,Transaction 8589
3002018,200483,200761,3,1545.33,2022-09-10 00:00:00.000000,47,Transaction 2018
3042350,200330,201525,2,3902.81,2021-12-04 07:00:00.000000,42,Transaction 42350
3041095,201176,201335,3,1143.29,2020-06-15 01:00:00.000000,38,Transaction 41095
3034931,201032,200181,2,4706.64,2020-04-18 19:00:00.000000,5,Transaction 34931
3013785,200632,201238,2,4137.87,2022-04-18 23:00:00.000000,10,Transaction 13785
3046413,200260,200497,2,1056.54,2020-01-25 02:00:00.000000,2,Transaction 46413
3019230,200591,200838,2,1546.1,2020-11-30 07:00:00.000000,8,Transaction 19230
3042732,201039,200217,3,4167.54,2023-07-26 23:00:00.000000,47,Transaction 42732
3018683,201337,200416,1,3028.09,2022-09-10 10:00:00.000000,11,Transaction 18683
3000862,201418,201224,2,2812.16,2020-04-11 21:00:00.000000,1,Transaction 862
3004383,201271,200837,1,4174.04,2026-07-20 15:01:43.084879,35,Transaction 4383
3026422,201531,200997,3,4036.57,2022-01-07 13:00:00.000000,24,Transaction 26422
3011383,201013,200692,4,267.09,2023-05-31 16:00:00.000000,20,Transaction 11383
